"Parasite.species","Parasite.group","minLCL","maxLCL","midLCL","Host.no","Facultative","Stage","Def.int","Flex.cycle","Length","Width","Biovolume","Host.nofac","complete_size"
"Mediorhynchus centurorum","acanthocephalan",2,2,2,2,"no","adult","def","no",35,1.2,39.5840674352314,"2nd","complete"
"Mediorhynchus grandis","acanthocephalan",2,2,2,0,NA,"embryo",NA,"no",0.047,0.025,0.000615228561328001,"propagule","complete"
"Mediorhynchus grandis","acanthocephalan",2,2,2,1,"no","1larv","int","no",0.885,0.545,0.206455357192567,"1st","complete"
"Mediorhynchus grandis","acanthocephalan",2,2,2,2,"no","adult","def","no",32.05,1.1,37.0629393307256,"2nd","complete"
"Megalobatrachonema terdentatum","nematode",1,2,1.5,0,NA,"free larva",NA,"yes",0.79,NA,NA,"propagule","incomplete"
"Megalobatrachonema terdentatum","nematode",1,2,1.5,1,"paratenic","1larv","int","yes",1.0925,NA,NA,"1st","incomplete"
"Megalobatrachonema terdentatum","nematode",1,2,1.5,2,"no","adult","def","yes",19.975,0.48,3.6100669500931,"2nd","incomplete"
"Megathylacoides giganteum","cestode",2,3,2.5,0,NA,"embryo",NA,"yes",NA,NA,NA,"propagule","incomplete"
"Megathylacoides giganteum","cestode",2,3,2.5,1,"no","1larv","int","yes",0.225,0.09,0.00143138815279185,"1st","incomplete"
"Megathylacoides giganteum","cestode",2,3,2.5,2,"paratenic","2larv","int","yes",NA,NA,NA,"2nd","incomplete"
