Parasite.species,Parasite.group,minLCL,maxLCL,midLCL,Host.no,Facultative,Stage,Def.int,Flex.cycle,Length,Width,Biovolume,Host.nofac,trans_to_int,trans_to_def,trans_to_fac,trans_to_human,complete_size
Corynosoma australe,acanthocephalan,2,3,2.5,1,no,1larv,int,yes,NA,NA,NA,1st,yes,no,yes,no,incomplete
Corynosoma australe,acanthocephalan,2,3,2.5,2,paratenic,2larv,int,yes,3.01,0.895,1.910469251,2nd,no,yes,no,no,incomplete
Corynosoma australe,acanthocephalan,2,3,2.5,3,no,adult,def,yes,4.91,1.59,9.749124626,3rd,no,no,no,no,incomplete
Corynosoma bullosum,acanthocephalan,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Corynosoma bullosum,acanthocephalan,2,3,2.5,1,no,1larv,int,yes,3.29,0.66,1.125572958,1st,yes,no,yes,no,incomplete
Corynosoma bullosum,acanthocephalan,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Corynosoma bullosum,acanthocephalan,2,3,2.5,3,no,adult,def,yes,16.4,NA,NA,3rd,no,no,no,no,incomplete
Corynosoma cetaceum,acanthocephalan,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Corynosoma cetaceum,acanthocephalan,2,3,2.5,1,no,1larv,int,yes,NA,NA,NA,1st,yes,no,yes,no,incomplete
Corynosoma cetaceum,acanthocephalan,2,3,2.5,2,paratenic,2larv,int,yes,4.935,1.575,9.586419971,2nd,no,yes,no,no,incomplete
Corynosoma cetaceum,acanthocephalan,2,3,2.5,3,no,adult,def,yes,4.215,1.86,13.3856646,3rd,no,no,no,no,incomplete
Corynosoma hamanni,acanthocephalan,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Corynosoma hamanni,acanthocephalan,2,3,2.5,1,no,1larv,int,yes,2.15,1.11,1.249568478,1st,yes,no,yes,no,incomplete
Corynosoma hamanni,acanthocephalan,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Corynosoma hamanni,acanthocephalan,2,3,2.5,3,no,adult,def,yes,4.9,1.98625,14.68069634,3rd,no,no,no,no,incomplete
Corynosoma magdaleni,acanthocephalan,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Corynosoma magdaleni,acanthocephalan,2,3,2.5,1,no,1larv,int,yes,NA,NA,NA,1st,yes,no,yes,no,incomplete
Corynosoma magdaleni,acanthocephalan,2,3,2.5,2,paratenic,2larv,int,yes,2.7,NA,NA,2nd,no,yes,no,no,incomplete
Corynosoma magdaleni,acanthocephalan,2,3,2.5,3,no,adult,def,yes,4.6,0.70725,1.808142935,3rd,no,no,no,no,incomplete
Corynosoma pseudohamanni,acanthocephalan,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Corynosoma pseudohamanni,acanthocephalan,2,3,2.5,1,no,1larv,int,yes,1.43725,0.8145,0.611150512,1st,yes,no,yes,no,incomplete
Corynosoma pseudohamanni,acanthocephalan,2,3,2.5,2,paratenic,2larv,int,yes,3,0.9445,1.4709984,2nd,no,yes,no,no,incomplete
Corynosoma pseudohamanni,acanthocephalan,2,3,2.5,3,no,adult,def,yes,4.6,1.365,6.731518068,3rd,no,no,no,no,incomplete
Corynosoma semerme,acanthocephalan,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Corynosoma semerme,acanthocephalan,2,3,2.5,1,no,1larv,int,yes,1.625,NA,NA,1st,yes,no,yes,no,incomplete
Corynosoma semerme,acanthocephalan,2,3,2.5,2,paratenic,2larv,int,yes,1.9,NA,NA,2nd,no,yes,no,no,incomplete
Corynosoma semerme,acanthocephalan,2,3,2.5,3,no,adult,def,yes,3.625,1.34,4.583348062,3rd,no,no,no,no,incomplete
Corynosoma strumosum,acanthocephalan,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Corynosoma strumosum,acanthocephalan,2,3,2.5,1,no,1larv,int,yes,NA,NA,NA,1st,yes,no,yes,no,incomplete
Corynosoma strumosum,acanthocephalan,2,3,2.5,2,paratenic,2larv,int,yes,3.1,NA,NA,2nd,no,yes,no,no,incomplete
Corynosoma strumosum,acanthocephalan,2,3,2.5,3,no,adult,def,yes,4.9375,1.00875,4.065209407,3rd,no,no,no,no,incomplete
Cosmocephalus obvelatus,nematode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cosmocephalus obvelatus,nematode,2,3,2.5,1,no,1larv,int,yes,1.73275,0.052,0.003480772,1st,yes,no,yes,no,incomplete
Cosmocephalus obvelatus,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Cosmocephalus obvelatus,nematode,2,3,2.5,3,no,adult,def,yes,15.30625,0.350888889,1.636327809,3rd,no,no,no,no,incomplete
Crenosoma mephitidis,nematode,2,3,2.5,0,NA,free larva,NA,yes,0.289,0.014,4.43E-05,propagule,yes,no,no,no,incomplete
Crenosoma mephitidis,nematode,2,3,2.5,1,no,1larv,int,yes,0.56475,0.027,0.000310611,1st,yes,no,yes,no,incomplete
Crenosoma mephitidis,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Crenosoma mephitidis,nematode,2,3,2.5,3,no,adult,def,yes,15.329,0.6655,5.291732728,3rd,no,no,no,no,incomplete
Crenosoma petrowi,nematode,2,3,2.5,0,NA,free larva,NA,yes,0.251,0.015,4.44E-05,propagule,yes,no,no,no,incomplete
Crenosoma petrowi,nematode,2,3,2.5,1,no,1larv,int,yes,0.541,0.03,0.00038241,1st,yes,no,yes,no,incomplete
Crenosoma petrowi,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Crenosoma petrowi,nematode,2,3,2.5,3,no,adult,def,yes,14.8,0.44,2.25038565,3rd,no,no,no,no,incomplete
Crenosoma striatum,nematode,2,2,2,0,NA,free larva,NA,no,0.271,0.0175,6.52E-05,propagule,yes,no,no,no,complete
Crenosoma striatum,nematode,2,2,2,1,no,1larv,int,no,0.467,0.0295,0.000319191,1st,no,yes,no,no,complete
Crenosoma striatum,nematode,2,2,2,2,no,adult,def,no,9.665,0.25,0.474429578,2nd,no,no,no,no,complete
Crenosoma vulpis,nematode,2,2,2,0,NA,free larva,NA,no,0.277,NA,NA,propagule,yes,no,no,no,incomplete
Crenosoma vulpis,nematode,2,2,2,1,no,1larv,int,no,0.5035,NA,NA,1st,no,yes,no,no,incomplete
Crenosoma vulpis,nematode,2,2,2,2,no,adult,def,no,7.5,0.439,1.135220396,2nd,no,no,no,no,incomplete
Ctenotaenia marmotae,cestode,2,2,2,0,NA,embryo,NA,no,0.02,0.016,0.000167552,propagule,yes,no,no,no,complete
Ctenotaenia marmotae,cestode,2,2,2,1,no,1larv,int,no,0.2275,0.122,0.014532484,1st,no,yes,no,no,complete
Ctenotaenia marmotae,cestode,2,2,2,2,no,adult,def,no,107.5,12.5,1340,2nd,no,no,no,no,complete
Cucullanus chabaudi,nematode,1,1,1,0,NA,free larva,NA,no,NA,NA,NA,propagule,no,yes,no,no,all missing
Cucullanus chabaudi,nematode,1,1,1,1,no,adult,def,no,NA,NA,NA,1st,no,no,no,no,all missing
Cucullanus cirratus,nematode,2,3,2.5,0,NA,free larva,NA,yes,0.37,0.011,3.04E-05,propagule,yes,no,yes,no,incomplete
Cucullanus cirratus,nematode,2,3,2.5,1,paratenic,1larv,int,yes,0.38,NA,NA,1st,yes,no,no,no,incomplete
Cucullanus cirratus,nematode,2,3,2.5,2,no,2larv,int,yes,0.8,NA,NA,2nd,no,yes,no,no,incomplete
Cucullanus cirratus,nematode,2,3,2.5,3,no,adult,def,yes,16.95,0.3615,1.739707305,3rd,no,no,no,no,incomplete
Cucullanus heterochrous,nematode,2,2,2,0,NA,embryo,NA,no,0.43,0.013,5.71E-05,propagule,yes,no,no,no,incomplete
Cucullanus heterochrous,nematode,2,2,2,1,no,1larv,int,no,0.75,NA,NA,1st,no,yes,no,no,incomplete
Cucullanus heterochrous,nematode,2,2,2,2,no,adult,def,no,9.311666667,0.324833333,0.851358484,2nd,no,no,no,no,incomplete
Cyathocephalus truncatus,cestode,1,2,1.5,0,NA,embryo,NA,yes,0.033,0.023,0.000397411,propagule,yes,no,no,no,complete
Cyathocephalus truncatus,cestode,1,2,1.5,1,no,1larv,int,yes,7.969,0.731233766,3.025962955,1st,no,yes,yes,no,complete
Cyathocephalus truncatus,cestode,1,2,1.5,2,progenetic,adult,def,yes,16.25666667,1.035,16.82057519,2nd,no,no,no,no,complete
Cyathostoma bronchialis,nematode,1,2,1.5,0,NA,embryo,NA,yes,0.291,NA,NA,propagule,yes,no,yes,no,incomplete
Cyathostoma bronchialis,nematode,1,2,1.5,1,paratenic,1larv,int,yes,0.326,NA,NA,1st,no,yes,no,no,incomplete
Cyathostoma bronchialis,nematode,1,2,1.5,2,no,adult,def,yes,23.35,1.25,30.67961576,2nd,no,no,no,no,incomplete
Cyathostoma lari,nematode,1,2,1.5,0,NA,embryo,NA,yes,0.334,0.023,0.000138769,propagule,yes,no,yes,no,incomplete
Cyathostoma lari,nematode,1,2,1.5,1,paratenic,1larv,int,yes,NA,NA,NA,1st,no,yes,no,no,incomplete
Cyathostoma lari,nematode,1,2,1.5,2,no,adult,def,yes,16.2475,0.873333333,9.575201606,2nd,no,no,no,no,incomplete
Cyathostomum catinatum,nematode,1,1,1,0,NA,free larva,NA,no,0.7342,0.0309,0.00059152,propagule,no,yes,no,no,complete
Cyathostomum catinatum,nematode,1,1,1,1,no,adult,def,no,7.3725,0.175,0.176667954,1st,no,no,no,no,complete
Cyclodontostomum purvisi,nematode,1,1,1,0,NA,free larva,NA,no,0.4255,NA,NA,propagule,no,yes,no,no,incomplete
Cyclodontostomum purvisi,nematode,1,1,1,1,no,adult,def,no,9.262666667,0.392666667,1.13695984,1st,no,no,no,no,incomplete
Cyclustera capito,cestode,3,3,3,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cyclustera capito,cestode,3,3,3,1,no,1larv,int,no,NA,NA,NA,1st,yes,no,no,no,incomplete
Cyclustera capito,cestode,3,3,3,2,no,2larv,int,no,4.06,1.52,7.367210702,2nd,no,yes,no,no,incomplete
Cyclustera capito,cestode,3,3,3,3,no,adult,def,no,28.5,1.15,32.625,3rd,no,no,no,no,incomplete
Cyclustera ibisae,cestode,3,3,3,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cyclustera ibisae,cestode,3,3,3,1,no,1larv,int,no,NA,NA,NA,1st,yes,no,no,no,incomplete
Cyclustera ibisae,cestode,3,3,3,2,no,2larv,int,no,1.122,1.002,0.884745131,2nd,no,yes,no,no,incomplete
Cyclustera ibisae,cestode,3,3,3,3,no,adult,def,no,4.125,0.64,2.64,3rd,no,no,no,no,incomplete
Cyclustera ralli,cestode,3,3,3,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cyclustera ralli,cestode,3,3,3,1,no,1larv,int,no,NA,NA,NA,1st,yes,no,no,no,incomplete
Cyclustera ralli,cestode,3,3,3,2,no,2larv,int,no,0.6435,0.5605,0.158777758,2nd,no,yes,no,no,incomplete
Cyclustera ralli,cestode,3,3,3,3,no,adult,def,no,3.2,0.366,1.1712,3rd,no,no,no,no,incomplete
Cylicocyclus nassatus,nematode,1,1,1,0,NA,free larva,NA,no,0.79,0.05,0.001551161,propagule,no,yes,no,no,complete
Cylicocyclus nassatus,nematode,1,1,1,1,no,adult,def,no,9.275,0.267,0.517909809,1st,no,no,no,no,complete
Cylicostephanus longibursatus,nematode,1,1,1,0,NA,free larva,NA,no,0.824,0.035,0.000792781,propagule,no,yes,no,no,complete
Cylicostephanus longibursatus,nematode,1,1,1,1,no,adult,def,no,6.375,0.199,0.197501209,1st,no,no,no,no,complete
Cyrnea colini,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cyrnea colini,nematode,2,2,2,1,no,1larv,int,no,3.375,0.1,0.02552544,1st,no,yes,no,no,incomplete
Cyrnea colini,nematode,2,2,2,2,no,adult,def,no,15,0.365,1.674154725,2nd,no,no,no,no,incomplete
Cyrnea eurycerca,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cyrnea eurycerca,nematode,2,2,2,1,no,1larv,int,no,3.125,0.11,0.029697868,1st,no,yes,no,no,incomplete
Cyrnea eurycerca,nematode,2,2,2,2,no,adult,def,no,13.4,0.24,0.606201718,2nd,no,no,no,no,incomplete
Cyrnea mansioni,nematode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cyrnea mansioni,nematode,2,3,2.5,1,no,1larv,int,yes,1.81625,0.05,0.003566199,1st,yes,no,yes,no,incomplete
Cyrnea mansioni,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Cyrnea mansioni,nematode,2,3,2.5,3,no,adult,def,yes,14.4,0.3,1.01787602,3rd,no,no,no,no,incomplete
Cystidicola cristivomeri,nematode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cystidicola cristivomeri,nematode,2,3,2.5,1,no,1larv,int,yes,7.906166667,0.1188,0.140027868,1st,no,yes,no,no,incomplete
Cystidicola cristivomeri,nematode,2,3,2.5,2,no,adult,def,yes,31.2225,0.4375,5.748623682,2nd,no,no,no,no,incomplete
Cystidicola farionis,nematode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cystidicola farionis,nematode,2,3,2.5,1,no,1larv,int,yes,3.754666667,0.0965,0.067115668,1st,no,yes,no,no,incomplete
Cystidicola farionis,nematode,2,3,2.5,2,no,adult,def,yes,28.2,0.126,0.224441662,2nd,no,no,no,no,incomplete
Cystidicoloides tenuissima,nematode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cystidicoloides tenuissima,nematode,2,3,2.5,1,no,1larv,int,yes,4.78875,0.066,0.011768909,1st,yes,no,yes,no,incomplete
Cystidicoloides tenuissima,nematode,2,3,2.5,2,paratenic,2larv,int,yes,9.065,NA,NA,2nd,no,yes,no,no,incomplete
Cystidicoloides tenuissima,nematode,2,3,2.5,3,no,adult,def,yes,13.8,0.278,0.837642221,3rd,no,no,no,no,incomplete
Cystocaulus ocreatus,nematode,2,2,2,0,NA,free larva,NA,no,0.405,0.0185,0.000108865,propagule,yes,no,no,no,complete
Cystocaulus ocreatus,nematode,2,2,2,1,no,1larv,int,no,0.7139,0.04225,0.001094999,1st,no,yes,no,no,complete
Cystocaulus ocreatus,nematode,2,2,2,2,no,adult,def,no,75,0.1095,0.706284025,2nd,no,no,no,no,complete
Cystoopsis acipenseri,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cystoopsis acipenseri,nematode,2,2,2,1,no,1larv,int,no,0.38,NA,NA,1st,no,yes,no,no,incomplete
Cystoopsis acipenseri,nematode,2,2,2,2,no,adult,def,no,6.875,4.75,11.81369737,2nd,no,no,no,no,incomplete
Cystoopsis atractostei,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Cystoopsis atractostei,nematode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,incomplete
Cystoopsis atractostei,nematode,2,2,2,2,no,adult,def,no,1.995,3.69,3.854498567,2nd,no,no,no,no,incomplete
Davainea proglottina,cestode,2,2,2,0,NA,embryo,NA,no,0.02325,0.025,0.000392699,propagule,yes,no,no,no,complete
Davainea proglottina,cestode,2,2,2,1,no,1larv,int,no,0.1975,0.1525,0.015773413,1st,no,yes,no,no,complete
Davainea proglottina,cestode,2,2,2,2,no,adult,def,no,2.25,0.5,1.2,2nd,no,no,no,no,complete
Davainea tetraoensis,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Davainea tetraoensis,cestode,2,2,2,1,no,1larv,int,no,0.276166667,0.181166667,0.028123145,1st,no,yes,no,no,incomplete
Davainea tetraoensis,cestode,2,2,2,2,no,adult,def,no,2.65,0.35,0.9275,2nd,no,no,no,no,incomplete
Dentitruncus truttae,acanthocephalan,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Dentitruncus truttae,acanthocephalan,2,2,2,1,no,1larv,int,no,5.15,0.86,2.99153448,1st,no,yes,no,no,incomplete
Dentitruncus truttae,acanthocephalan,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Desportesius brevicaudatus,nematode,2,4,3,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Desportesius brevicaudatus,nematode,2,4,3,1,no,1larv,int,yes,NA,NA,NA,1st,yes,no,yes,no,incomplete
Desportesius brevicaudatus,nematode,2,4,3,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,yes,no,yes,no,incomplete
Desportesius brevicaudatus,nematode,2,4,3,3,paratenic,3larv,int,yes,NA,NA,NA,3rd,no,yes,no,no,incomplete
Desportesius brevicaudatus,nematode,2,4,3,4,no,adult,def,yes,9.133333333,0.295,0.628500848,4th,no,no,no,no,incomplete
Desportesius invaginatus,nematode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Desportesius invaginatus,nematode,2,3,2.5,1,no,1larv,int,yes,1.5,0.045,0.002385647,1st,yes,no,yes,no,incomplete
Desportesius invaginatus,nematode,2,3,2.5,2,paratenic,2larv,int,yes,1.3,NA,NA,2nd,no,yes,no,no,incomplete
Desportesius invaginatus,nematode,2,3,2.5,3,no,adult,def,yes,12.15,0.325,1.007935824,3rd,no,no,no,no,incomplete
Dicheilonema rheae,nematode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Dicheilonema rheae,nematode,2,3,2.5,1,no,1larv,int,yes,2.416,0.117,0.025975178,1st,yes,no,yes,no,incomplete
Dicheilonema rheae,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Dicheilonema rheae,nematode,2,3,2.5,3,no,adult,def,yes,662.4,NA,NA,3rd,no,no,no,no,incomplete
Dichelyne bullocki,nematode,1,1,1,0,NA,free larva,NA,no,NA,NA,NA,propagule,no,yes,no,no,incomplete
Dichelyne bullocki,nematode,1,1,1,1,no,adult,def,no,2.67,0.156,0.051032911,1st,no,no,no,no,incomplete
Dichelyne cotylophora,nematode,2,2,2,0,NA,free larva,NA,no,0.3205,NA,NA,propagule,yes,no,no,no,all missing
Dichelyne cotylophora,nematode,2,2,2,1,no,1larv,int,no,0.763666667,NA,NA,1st,no,yes,no,no,all missing
Dichelyne cotylophora,nematode,2,2,2,2,no,adult,def,no,4.18,NA,NA,2nd,no,no,no,no,all missing
Dichelyne minutus,nematode,2,2,2,0,NA,free larva,NA,no,0.3895,0.01275,4.95E-05,propagule,yes,no,no,no,complete
Dichelyne minutus,nematode,2,2,2,1,no,1larv,int,no,0.8285,0.053333333,0.002290857,1st,no,yes,no,no,complete
Dichelyne minutus,nematode,2,2,2,2,no,adult,def,no,4.056666667,0.521666667,0.913457661,2nd,no,no,no,no,complete
Dichoanotaenia gallinagilis,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Dichoanotaenia gallinagilis,cestode,2,2,2,1,no,1larv,int,no,0.335,0.249,0.043675992,1st,no,yes,no,no,incomplete
Dichoanotaenia gallinagilis,cestode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Dicranotaenia coronula,cestode,2,3,2.5,0,NA,embryo,NA,yes,0.023875,0.019875,0.000251589,propagule,yes,no,no,no,complete
Dicranotaenia coronula,cestode,2,3,2.5,1,no,1larv,int,yes,0.203,0.165,0.016414822,1st,yes,no,yes,no,complete
Dicranotaenia coronula,cestode,2,3,2.5,2,paratenic,2larv,int,yes,0.215,0.197,0.022177026,2nd,no,yes,no,no,complete
Dicranotaenia coronula,cestode,2,3,2.5,3,no,adult,def,yes,144.8666667,2.478571429,374.9285714,3rd,no,no,no,no,complete
Dictyocaulus arnfieldi,nematode,1,1,1,0,NA,free larva,NA,no,0.4375,0.0155,8.27E-05,propagule,no,yes,no,no,complete
Dictyocaulus arnfieldi,nematode,1,1,1,1,no,adult,def,no,50.51666667,0.4,6.44026494,1st,no,no,no,no,complete
Dictyocaulus eckerti,nematode,1,1,1,0,NA,free larva,NA,no,0.3501215,0.018908,9.92E-05,propagule,no,yes,no,no,complete
Dictyocaulus eckerti,nematode,1,1,1,1,no,adult,def,no,48.85,0.2963085,3.432229636,1st,no,no,no,no,complete
Dictyocaulus filaria,nematode,1,1,1,0,NA,free larva,NA,no,0.54395,0.0243,0.000258273,propagule,no,yes,no,no,complete
Dictyocaulus filaria,nematode,1,1,1,1,no,adult,def,no,77.5,0.405,10.3059947,1st,no,no,no,no,complete
Dictyocaulus viviparus,nematode,1,1,1,0,NA,free larva,NA,no,0.293,0.025,0.000125664,propagule,no,yes,no,no,incomplete
Dictyocaulus viviparus,nematode,1,1,1,1,no,adult,def,no,70,NA,NA,1st,no,no,no,no,incomplete
Didelphostrongylus hayesi,nematode,2,2,2,0,NA,free larva,NA,no,0.24,0.0125,2.95E-05,propagule,yes,no,no,no,incomplete
Didelphostrongylus hayesi,nematode,2,2,2,1,no,1larv,int,no,0.375,NA,NA,1st,no,yes,no,no,incomplete
Didelphostrongylus hayesi,nematode,2,2,2,2,no,adult,def,no,17.4,0.47,5.252463106,2nd,no,no,no,no,incomplete
Dilepis undula,cestode,2,2,2,0,NA,embryo,NA,no,0.0365,0.0315,0.000607113,propagule,yes,no,no,no,complete
Dilepis undula,cestode,2,2,2,1,no,1larv,int,no,1.013333333,0.58,0.313338961,1st,no,yes,no,no,complete
Dilepis undula,cestode,2,2,2,2,no,adult,def,no,95,2.717333333,274.2,2nd,no,no,no,no,complete
Dinobothrium sp.,cestode,3,3,3,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,all missing
Dinobothrium sp.,cestode,3,3,3,1,no,1larv,int,no,NA,NA,NA,1st,yes,no,no,no,all missing
Dinobothrium sp.,cestode,3,3,3,2,no,2larv,int,no,NA,NA,NA,2nd,no,yes,no,no,all missing
Dinobothrium sp.,cestode,3,3,3,3,no,adult,def,no,NA,NA,NA,3rd,no,no,no,no,all missing
Dioctophyma renale,nematode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Dioctophyma renale,nematode,2,3,2.5,1,no,1larv,int,yes,8.65,0.14,0.133156405,1st,yes,no,yes,no,incomplete
Dioctophyma renale,nematode,2,3,2.5,2,paratenic,2larv,int,yes,8.976966667,0.1670625,0.1945872,2nd,no,yes,no,yes,incomplete
Dioctophyma renale,nematode,2,3,2.5,3,no,adult,def,yes,344.28125,4.75,6716.03787,3rd,no,no,no,no,incomplete
Dioecotaenia cancellata,cestode,2,2,2,0,NA,embryo,NA,no,0.035,0.035,0.000641409,propagule,yes,no,no,no,incomplete
Dioecotaenia cancellata,cestode,2,2,2,1,no,1larv,int,no,8,NA,NA,1st,no,yes,no,no,incomplete
Dioecotaenia cancellata,cestode,2,2,2,2,no,adult,def,no,39.25,1.23,51.45,2nd,no,no,no,no,incomplete
Diorchis asiatica,cestode,2,2,2,0,NA,embryo,NA,no,0.026,0.0135,0.000183783,propagule,yes,no,no,no,complete
Diorchis asiatica,cestode,2,2,2,1,no,1larv,int,no,0.185,0.157,0.015207926,1st,no,yes,no,no,complete
Diorchis asiatica,cestode,2,2,2,2,no,adult,def,no,23.75,0.67,15.9125,2nd,no,no,no,no,complete
Diorchis brevis,cestode,2,2,2,0,NA,embryo,NA,no,0.049,0.024,0.000615752,propagule,yes,no,no,no,incomplete
Diorchis brevis,cestode,2,2,2,1,no,1larv,int,no,0.2025,NA,NA,1st,no,yes,no,no,incomplete
Diorchis brevis,cestode,2,2,2,2,no,adult,def,no,46,2,92,2nd,no,no,no,no,incomplete
Diorchis bulbodes,cestode,2,2,2,0,NA,embryo,NA,no,0.0425,0.01575,0.000367174,propagule,yes,no,no,no,complete
Diorchis bulbodes,cestode,2,2,2,1,no,1larv,int,no,0.325,0.285,0.048498337,1st,no,yes,no,no,complete
Diorchis bulbodes,cestode,2,2,2,2,no,adult,def,no,97.5,0.86,87.425,2nd,no,no,no,no,complete
Diorchis danutae,cestode,2,2,2,0,NA,embryo,NA,no,0.033,0.0165,0.0002851,propagule,yes,no,no,no,complete
Diorchis danutae,cestode,2,2,2,1,no,1larv,int,no,0.21675,0.18425,0.021925175,1st,no,yes,no,no,complete
Diorchis danutae,cestode,2,2,2,2,no,adult,def,no,142.5,2.2,313.5,2nd,no,no,no,no,complete
Diorchis inflata,cestode,2,3,2.5,0,NA,embryo,NA,yes,0.04,0.021,0.000439823,propagule,yes,no,no,no,complete
Diorchis inflata,cestode,2,3,2.5,1,no,1larv,int,yes,0.275,0.255,0.036913714,1st,yes,no,yes,no,complete
Diorchis inflata,cestode,2,3,2.5,2,paratenic,2larv,int,yes,0.25,0.24,0.031415927,2nd,no,yes,no,no,complete
Diorchis inflata,cestode,2,3,2.5,3,no,adult,def,yes,119.8333333,1.945,252.6858333,3rd,no,no,no,no,complete
Diorchis nyrocae,cestode,2,3,2.5,0,NA,embryo,NA,yes,0.0285,0.014333333,0.000214675,propagule,yes,no,no,no,complete
Diorchis nyrocae,cestode,2,3,2.5,1,no,1larv,int,yes,0.26075,0.231333333,0.02920983,1st,yes,no,yes,no,complete
Diorchis nyrocae,cestode,2,3,2.5,2,paratenic,2larv,int,yes,0.185,0.1525,0.01477203,2nd,no,yes,no,no,complete
Diorchis nyrocae,cestode,2,3,2.5,3,no,adult,def,yes,97.33333333,0.75,84.08333333,3rd,no,no,no,no,complete
Diorchis parvogenitalis,cestode,2,2,2,0,NA,embryo,NA,no,0.05,0.026,0.000680678,propagule,yes,no,no,no,incomplete
Diorchis parvogenitalis,cestode,2,2,2,1,no,1larv,int,no,0.24,0.18,0.022619467,1st,no,yes,no,no,incomplete
Diorchis parvogenitalis,cestode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Diorchis ransomi,cestode,2,3,2.5,0,NA,embryo,NA,yes,0.043,0.025,0.000562869,propagule,yes,no,no,no,complete
Diorchis ransomi,cestode,2,3,2.5,1,no,1larv,int,yes,0.238,0.22,0.02745752,1st,yes,no,yes,no,complete
Diorchis ransomi,cestode,2,3,2.5,2,paratenic,2larv,int,yes,0.205,0.19,0.020394172,2nd,no,yes,no,no,complete
Diorchis ransomi,cestode,2,3,2.5,3,no,adult,def,yes,162.25,1.95,313.8375,3rd,no,no,no,no,complete
Diphyllobothrium dendriticum,cestode,3,4,3.5,0,NA,free larva,NA,yes,0.0355,0.031,0.000575959,propagule,yes,no,no,no,complete
Diphyllobothrium dendriticum,cestode,3,4,3.5,1,no,1larv,int,yes,0.2895,0.0935,0.002064659,1st,yes,no,no,no,complete
